index,cid,smiles,hepatotoxicity,score,set
0,6238,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,True,3.0,TEST
1,4114,COc1c2oc(=O)ccc2cc2c1occ2,True,3.0,TRAIN
2,441300,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,True,3.0,TRAIN
3,46220502,CCN1CCN(Cc2cnc(Nc3ncc(F)c(-c4cc5c(nc(C)n5C(C)C)c(F)c4)n3)cc2)CC1,False,3.0,TRAIN
4,132971,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cnccc3)=CC[C@@H]12,True,3.0,TRAIN
5,71226662,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,True,3.0,TRAIN
6,71158,CC(=O)NCCCS(=O)(=O)O,True,3.0,TRAIN
7,41774,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,True,3.0,TRAIN
8,1978,CCCC(=O)Nc1cc(C(C)=O)c(OCC(O)CNC(C)C)cc1,True,3.0,VALIDATION
9,1983,CC(=O)Nc1ccc(O)cc1,True,3.0,TRAIN
10,1986,CC(=O)Nc1nnc(S(N)(=O)=O)s1,True,3.0,TEST
11,1989,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,True,3.0,TRAIN
12,12035,CC(=O)N[C@@H](CS)C(=O)O,False,3.0,TRAIN
13,5284513,COc1c(C)c(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1,True,3.0,TRAIN
14,5284514,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,False,3.0,TRAIN
15,135398513,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,True,3.0,TEST
16,60172,Nc1c2ncn(CCOCP(=O)(O)O)c2ncn1,True,3.0,VALIDATION
17,15558419,COc1ccc(C(O)CNC(=O)/C=C/c2ccccc2)cc1,True,3.0,TRAIN
